Timestamp,Section Code,Item Code,MAKE (MANUFACTURED BY),Description,Quantity,Unit,Section Alloted,Picture of the Material,LOCATION/STOCK,Part Code
,,,,P.P. Fitting MTA Dia 32mm,9,PC,Common Product,,6C,
,,,,UNION Dia 40mm,10,PC,Common Product,,6C,
,,,,UNION Dia 32mm,9,PC,Common Product,,6C,
,,,,UNION Dia 50mm,8,PC,Common Product,,6C,
,,,,UNION Dia 25mm,5,PC,Common Product,,6C,
,,,,"UPVC UNION Dia 2""",2,PC,Common Product,,6C,
,,,,"UPVC UNION Inner Threaded Dia 2""",2,PC,Common Product,,6C,
,,,,"P.P. Reducer one side Threaded Dia 2.5 * 3.5""",3,PC,Common Product,,6C,
,,,,"P.P. Reducer Cupler Dia 90mm * 3""",2,PC,Common Product,,6C,
,,,,"P.P. Nipple Dia 3""",2,PC,Common Product,,6C,
,,,,"P.P. Adaptor Dia 1.5""",9,PC,Common Product,,6C,
,,,,UPVC Compression Coupling Dia 32mm,5,PC,Common Product,,6C,
,,,,UPVC Compression Coupling Elbow Dia 40mm,5,PC,Common Product,,6C,
,,,,UPVC Compression Coupling Elbow Dia 32mm,6,PC,Common Product,,6C,
,,,,UPVC TEE Compression Cupling Dia 40mm,7,PC,Common Product,,6D,
,,,,UPVC TEE Compression Cupling Dia 32mm,1,PC,Common Product,,6D,
,,,,UPVC Compression Cupling Dia 40mm,5,PC,Common Product,,6D,
,,,,UPVC Compression Cupling Dia 32mm,7,PC,Common Product,,6D,
,,,,UPVCF Pipe Adapter Dia 25mm,4,PC,Common Product,,6D,
,,,,"P.P. Threaded Plug Dia 1/2""",18,PC,Common Product,,6D,
,,,,"P.P. Threaded Plug Dia 3/4""",1,PC,Common Product,,6D,
,,,,"P.P. Socket Dia 2.25""",1,PC,Common Product,,6D,
,,,,Balcanut Dia 32mm,4,PC,Common Product,,6D,
,,,,"P.P. Nipple Dia 1/2""",2,PC,Common Product,,6D,
,,,,PE Socket Dia 40mm,2,PC,Common Product,,6D,
,,,,P-TRAP Dia 40mm,4,PC,Parboiling Section,,6D,
,,,,"N.R.V. Dia 1.25""",1,PC,Common Product,,6D,
,,,,UPVC TEE Dia 40mm * 32mm,2,PC,Common Product,,6C,
,,,,UPVC Adapter Dia 40mm,2,PC,Common Product,,6C,
,,,,P.P. ELBOW Threaded Dia 40mm,2,PC,Common Product,,6C,
,,,,UPVC BALL VALVE Threaded Dia 40mm,2,PC,Common Product,,6C,
,,,,"P.P. Reducer Dia 1.75"" * 3""",1,PC,Common Product,,6C,
,,,,P.P. Reducer MTA Dia 30mm * 20mm,2,PC,Common Product,,6C,
,,,,"P.P. Union Dia 2""",1,PC,Common Product,,6C,
,,,,P.P. Union Dia 32mm,2,PC,Common Product,,6C,
,,,,UPVC UNION Dia 40mm,1,PC,Common Product,,6C,
,,,,P.P. Socket Dia 40mm,3,PC,Common Product,,6C,
,,,,UPVC Elbow Dia 40mm,1,PC,Common Product,,6C,
,,,,"UPVC Adapter Dia 2.25""",2,PC,Common Product,,6C,
,,,,UPVC BALL VALVE Dia 32mm,1,PC,Common Product,,6C,
,,,,P.P. Reducer Dia 32mm * 50mm,3,PC,Common Product,,6C,
,,,,"UPVC Nipple Dia 1.75""",1,PC,Common Product,,6C,
,,,,P.P. Reducer Dia 63mm * 50mm,1,PC,Common Product,,6C,
,,,,"P.P. Adapter Dia 1"" * 2""",1,PC,Common Product,,6C,
,,,,P.P. TEE Dia 40mm,1,PC,Common Product,,6C,
,,,,P.P. Reducer Dia 32mm * 25mm,3,PC,Common Product,,6C,
,,,,P.P. Nipple Dia 32mm,1,PC,Common Product,,6C,
,,,,P.P. Adapter Dia 32mm,2,PC,Common Product,,6C,
,,,,"P.P. Nipple Dia 1""",1,PC,Common Product,,6C,
,,,,P.P. Socket Dia 20mm,3,PC,Common Product,,6C,
,,,,Inner Threaded Union Dia 25mm,1,PC,Common Product,,6C,
,,,,P.P. Reducer Dia 40mm * 32mm,1,PC,Common Product,,6C,
,,,,"P.P. Reducer Dia 1.5"" * 1.25""",1,PC,Common Product,,6C,
,,,,"Compression Cupling Seal Dia 2.5""",5,PC,Common Product,,6C,
,,,,UPVC Elbow Class - C Dia 50mm,1,PC,Common Product,,6C,
,,,,"G.I. Socket Dia 4""",6,PC,Common Product,,6D,
,,,,"S.S. Socket Dia 3""",2,PC,Common Product,,6D,
,,,,"G.I. Nipple Dia 4""",3,PC,Common Product,,6D,
,,,,"S.S. One Sider Threaded Nipple Dia 4""",2,PC,Common Product,,6D,
,,,,"M.S. Socket Dia 3""",1,PC,Common Product,,6D,
,,,,"M.S. Nipple Dia 3""",1,PC,Common Product,,6D,
,,,,"S.S. Nipple Dia 3""",1,PC,Common Product,,6D,
,,,,"M.S. Nipple Dia 2""",3,PC,Common Product,,6D,
,,,,"G.I. Nipple Dia 1.5""",4,PC,Common Product,,6D,
,,,,"S.S. Nipple Dia 1""",11,PC,Common Product,,6D,
,,,,"S.S. Nipple Dia 1.5""",2,PC,Common Product,,6D,
,,,,"S.S. Nipple Dia 1/2""",14,PC,Common Product,,6D,
,,,,"S.S. Socket Dia 1.5""",13,PC,Common Product,,6D,
,,,,"G.I. Socket Dia 2""",6,PC,Common Product,,6D,
,,,,"S.S. Socket Dia 1""",3,PC,Common Product,,6D,
,,,,"M.S. Socket Dia 1""",5,PC,Common Product,,6D,
,,,,"M.S. Socket Dia 3/4""",5,PC,Common Product,,6D,
,,,,"M.S.Socket Dia 1/2""",8,PC,Common Product,,6D,
,,,,"S.S. Socket Dia 1/2""",1,PC,Common Product,,6D,
,,,,"G.I. Bend Dia 3/4""",11,PC,Common Product,,6D,
,,,,"G.I.TEE Dia 3/4""",5,PC,Common Product,,6D,
,,,,"Ball Valve Brass Dia1"" (PN-16)",4,PC,Common Product,,6D,
,,,,"Ball Valve Brass Dia 3/4""",2,PC,Common Product,,6D,
,,,,"Ball Valve 1/2""",5,PC,Common Product,,6D,
,,,,"Ball Valve (PN-40) Dia 1/2""",3,PC,Common Product,,6D,
,,,,"Ball Valve (PN-40) Dia 3/4""",6,PC,Common Product,,6D,
,,,,"S.S. Ball Valve (Class - 304) Dia 1""",3,PC,Common Product,,6D,
,,,,"S.S. Ball Valve (Class - 316) Dia 3/4""",1,PC,Common Product,,6D,
,,,,Ball Valve (PN-40) Dia 40mm,9,PC,Common Product,,6D,
,,,,Ball Valve (PN-40) Dia 50mm,3,PC,Common Product,,6D,
,,,,"Ball Valve (PN-25) Dia 3""",2,PC,Common Product,,6D,
,,,,"Plug Valve Dia 1""",3,PC,Common Product,,6D,
,,,,"Plug Valve Dia 1.25""",1,PC,Common Product,,6D,
,,,,"S.S. Nipple Dia 3/4""",6,PC,Common Product,,6D,
,,,,"S.S. Short Bend Dia 1/2""",5,PC,Common Product,,6D,
,,,,"S.S. Long Bend Dia 1/2""",3,PC,Common Product,,6D,
,,,,"G.I. Socket Dia 1""",2,PC,Common Product,,6D,
,,,,"M.S.TEE Dia 1/2""",3,PC,Common Product,,6D,
,,,,"S.S. Socket Dia 3/4""",4,PC,Common Product,,6D,
,,,,"G.I. Socket Dia 1.5""",1,PC,Common Product,,6D,
,,,,"G.I. Nipple Dia 1/2""",1,PC,Common Product,,6D,
,,,,"G.I. Nipple Dia 1""",1,PC,Common Product,,6D,
